"resposta","pergunta","pais","ano","n","p"
"Concordo","Faço amigos com facilidade na escola","PHL","2022",1486069.8199272,83.3514780729266
"Concordo","Faço amigos com facilidade na escola","POL","2000",410535.4111,82.0161166359425
"Concordo","Faço amigos com facilidade na escola","POL","2003",466010.5801,88.1060671573182
"Concordo","Faço amigos com facilidade na escola","POL","2012",216265.7359,86.7291620796461
"Concordo","Faço amigos com facilidade na escola","POL","2015",254090.363004447,73.4983063844505
"Concordo","Faço amigos com facilidade na escola","POL","2018",223265.949001729,70.0499859941093
"Concordo","Faço amigos com facilidade na escola","POL","2022",243678.11165525,71.3422682691706
"Concordo","Faço amigos com facilidade na escola","PRT","2000",90092.4066,91.6623486178477
"Concordo","Faço amigos com facilidade na escola","PRT","2003",89238.1765,93.2637805627207
"Concordo","Faço amigos com facilidade na escola","PRT","2012",54950.5112,86.9335584242389
"Concordo","Faço amigos com facilidade na escola","PRT","2015",75627.2117389472,77.7948427783711
"Concordo","Faço amigos com facilidade na escola","PRT","2018",74791.7543291285,75.8325052012309
"Concordo","Faço amigos com facilidade na escola","PRT","2022",73779.3616921903,76.370700489842
"Concordo","Faço amigos com facilidade na escola","PRY","2022",61250.6217960216,75.6141208886356
"Concordo","Faço amigos com facilidade na escola","PSE","2022",69110.142202002,78.1937512548236
"Concordo","Faço amigos com facilidade na escola","QAR","2015",28749.9241630106,89.3421220609444
"Concordo","Faço amigos com facilidade na escola","QAT","2012",5598.921,85.1176868581165
"Concordo","Faço amigos com facilidade na escola","QAT","2015",10074.4242659681,77.7869226742425
"Concordo","Faço amigos com facilidade na escola","QAT","2018",11260.0349705738,73.9429891918451
"Concordo","Faço amigos com facilidade na escola","QAT","2022",13859.9054106204,75.5402225610461
"Concordo","Faço amigos com facilidade na escola","QAZ","2018",14505.1787310436,71.5556065710088
"Concordo","Faço amigos com facilidade na escola","QAZ","2022",22825.8059648373,74.7664720744783
"Concordo","Faço amigos com facilidade na escola","QCH","2015",1041784.14733903,78.2241317374516
"Concordo","Faço amigos com facilidade na escola","QCI","2018",785662.887823175,79.1758127603303
"Concordo","Faço amigos com facilidade na escola","QCN","2012",49441.7996,87.2980983382404
"Concordo","Faço amigos com facilidade na escola","QES","2015",327537.305997145,83.2630208755147
"Concordo","Faço amigos com facilidade na escola","QMR","2018",43667.1815255737,66.4283943329621
"Concordo","Faço amigos com facilidade na escola","QRS","2012",15319.8023,84.1536426283647
"Concordo","Faço amigos com facilidade na escola","QRT","2018",24341.9762632037,69.4530691192197
"Concordo","Faço amigos com facilidade na escola","QUC","2015",49219.9385796641,80.7970697339468
"Concordo","Faço amigos com facilidade na escola","QUD","2015",26623.7823790107,87.9804770063157
"Concordo","Faço amigos com facilidade na escola","QUE","2015",82252.1520712934,78.9662349634368
"Concordo","Faço amigos com facilidade na escola","QUR","2022",128205.744387704,77.4227754719054
"Concordo","Faço amigos com facilidade na escola","ROM","2000",184685.9642,89.5965767978697
"Concordo","Faço amigos com facilidade na escola","ROU","2012",79768.3718,85.8927918041878
"Concordo","Faço amigos com facilidade na escola","ROU","2015",151768.121590592,92.4198235442036
"Concordo","Faço amigos com facilidade na escola","ROU","2018",122420.486705639,82.661938047747
"Concordo","Faço amigos com facilidade na escola","ROU","2022",134564.745830226,83.0548122333176
"Concordo","Faço amigos com facilidade na escola","RUS","2000",1614378.7243,83.535497008343
"Concordo","Faço amigos com facilidade na escola","RUS","2003",1804027.0462,87.6463327774009
"Concordo","Faço amigos com facilidade na escola","RUS","2012",659784.9732,85.2974992034515
"Concordo","Faço amigos com facilidade na escola","RUS","2015",819322.182003339,73.0929229859381
"Concordo","Faço amigos com facilidade na escola","RUS","2018",849699.104425938,67.5765000541515
"Concordo","Faço amigos com facilidade na escola","SAU","2018",261156.850393397,73.7703845612503
"Concordo","Faço amigos com facilidade na escola","SAU","2022",224034.926666913,70.5729476405639
"Concordo","Faço amigos com facilidade na escola","SGP","2012",29743.7349,88.4217166170977
"Concordo","Faço amigos com facilidade na escola","SGP","2015",37070.4449803078,80.1972125696554
"Concordo","Faço amigos com facilidade na escola","SGP","2018",34395.2877720172,78.0684211508058
"Concordo","Faço amigos com facilidade na escola","SGP","2022",32203.7721936441,76.7527022743036
"Concordo","Faço amigos com facilidade na escola","SLV","2022",49460.7085167655,72.5551457424349
"Concordo","Faço amigos com facilidade na escola","SRB","2012",40015.1625,90.294176148124
"Concordo","Faço amigos com facilidade na escola","SRB","2018",48727.8219874964,78.7263724555935
